"","internal.gene_id","gr.row","X","Chr","Start","End","Strand","Length","vectorbase.RU","orthoDB.collapsed","flybase.fbpp.collapsed","flybase.fbgn.collapsed","flybase.annot.collapsed","flybase.gene.collapsed","display.name","gene.family","gene.family.specific","dmel.blastx.fbpp","dmel.blastx.fbgn","dmel.blastx.annot","dmel.blastx.gene","dmel.blastx.evalues","reason"
"1","gene10039",1,"gene10039","supercont1.49","2763468","2765436","-",1969,"AAEL002113","EOG85QM59","FBpp0078358","FBgn0037356","CG12170","CG12170","","","","FBpp0078358-FBpp0077343-FBpp0297101-FBpp0077342","FBgn0037356-FBgn0283427-FBgn0040001-FBgn0042627","CG12170-CG3523-CG17374-CG3524","CG12170-FASN1-FASN3-FASN2","6e-166-4e-20-2e-19-3e-16",""
"2","gene10134",2,"gene10134","supercont1.221;supercont1.221","414882;415210","415147;416825","+;+",1882,"AAEL006802","EOG85MQX1-EOG85MQX1-EOG85MQX1","FBpp0088127-FBpp0082070-FBpp0088126","FBgn0015038-FBgn0038037-FBgn0015039","CG4485-CG11466-CG4486","Cyp9b1-Cyp9f2-Cyp9b2","","","","FBpp0082070-FBpp0086933-FBpp0088126-FBpp0072228-FBpp0088127-FBpp0086583-FBpp0311645-FBpp0085466-FBpp0087770","FBgn0038037-FBgn0033775-FBgn0015039-FBgn0015040-FBgn0015038-FBgn0033979-FBgn0033302-FBgn0000473-FBgn0033304","CG11466-CG17577-CG4486-CG3616-CG4485-CG10243-CG8687-CG9438-CG2397","Cyp9f2-Cyp9h1-Cyp9b2-Cyp9c1-Cyp9b1-Cyp6a19-Cyp6a14-Cyp6a2-Cyp6a13","5e-126-9e-112-8e-103-2e-99-4e-98-6e-72-6e-71-4e-70-5e-69",""
"3","gene10232",3,"gene10232","supercont1.91;supercont1.91;supercont1.91;supercont1.91;supercont1.91;supercont1.91;supercont1.91","357330;360842;361243;362362;362686;384905;385103","358269;361180;361488;362623;362976;385040;385182","-;-;-;-;-;-;-",2294,"AAEL003569","EOG8RBT9C-EOG8RBT9C-EOG8RBT9C","FBpp0085159-FBpp0112227-FBpp0085157","FBgn0039856-FBgn0039855-FBgn0039854","CG1774-CG1638-CG1635","CG1774-CG1638-CG1635","","","","FBpp0085157-FBpp0112227-FBpp0085159-FBpp0078952-FBpp0099868","FBgn0039854-FBgn0039855-FBgn0039856-FBgn0031844-FBgn0039544","CG1635-CG1638-CG1774-CG13771-CG12877","CG1635-CG1638-CG1774-CG13771-CG12877","1e-179-1e-145-2e-129-1e-87-8e-04",""
"4","gene103",1,"gene103","supercont1.355;supercont1.355;supercont1.355;supercont1.355;supercont1.355","22173;22387;112228;112508;112773","22325;22548;112439;112717;113987","+;+;+;+;+",1952,"AAEL017196","EOG80GGGD","FBpp0074133","FBgn0027528","CG9634","goe","","","","FBpp0074133-FBpp0070000-FBpp0293663-FBpp0306704","FBgn0027528-FBgn0031081-FBgn0027570-FBgn0038818","CG9634-CG9565-CG9761-CG4058","goe-Nep3-Nep2-Nep4","2e-70-4e-18-4e-15-9e-15",""
"5","gene10367",1,"gene10367","supercont1.113;supercont1.113;supercont1.113","1275439;1275868;1282580","1275795;1276206;1283546","+;+;+",1663,"AAEL004301",NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,""
"6","gene1037",1,"gene1037","supercont1.219;supercont1.219;supercont1.219","1583819;1583947;1591851","1583884;1584988;1592011","+;+;+",1269,"AAEL006734","EOG8FR3H6","FBpp0076000","FBgn0027615","CG6404","CG6404","","","","FBpp0076000-FBpp0076251","FBgn0027615-FBgn0035960","CG6404-CG4942","CG6404-CG4942","1e-171-8e-18",""
"7","gene10517",1,"gene10517","supercont1.949;supercont1.949;supercont1.949;supercont1.949;supercont1.949","269306;270869;279582;297714;302101","269308;270930;279747;298019;302241","+;+;+;+;+",678,"AAEL013880","EOG81ZJ3C","FBpp0078848","FBgn0029161","CG9131","slmo","","","","FBpp0078848-FBpp0289521-FBpp0078902","FBgn0029161-FBgn0033413-FBgn0031814","CG9131-CG8806-CG9528","slmo-prel-retm","1e-103-1e-16-6e-11",""
"8","gene10519",1,"gene10519","supercont1.949","302321","302674","+",354,"AAEL017558",NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,""
"9","gene10666",1,"gene10666","supercont1.82;supercont1.82","1229246;1233109","1229620;1233138","-;-",405,"AAEL003224","EOG8ZSCW1","FBpp0088161","FBgn0026199","CG1838","myo","","","","FBpp0088161-FBpp0088273-FBpp0077404-FBpp0072036-FBpp0077451","FBgn0026199-FBgn0024913-FBgn0031461-FBgn0024234-FBgn0000490","CG1838-CG11062-CG16987-CG5562-CG9885","myo-Actbeta-daw-gbb-dpp","2e-42-9e-15-1e-14-1e-13-1e-11",""
"10","gene10717",3,"gene10717","supercont1.182;supercont1.182;supercont1.182;supercont1.182;supercont1.182;supercont1.182;supercont1.182","1076151;1119889;1128651;1128886;1129470;1129658;1138264","1076320;1120872;1128829;1129328;1129587;1129731;1138615","+;+;+;+;+;+;+",2320,"AAEL005969",NA,NA,NA,NA,NA,"","","","FBpp0074636-FBpp0078767","FBgn0036939-FBgn0031735","CG7365-CG11029","CG7365-CG11029","1e-89-2e-74",""
"11","gene10718",1,"gene10718","supercont1.182;supercont1.182;supercont1.182;supercont1.182;supercont1.182;supercont1.182","1177382;1177827;1198496;1203800;1208845;1270207","1177747;1177903;1199056;1203978;1209296;1270353","-;-;-;-;-;-",1782,"AAEL005957",NA,NA,NA,NA,NA,"","","","FBpp0074636-FBpp0078767","FBgn0036939-FBgn0031735","CG7365-CG11029","CG7365-CG11029","7e-94-1e-80",""
"12","gene10736",1,"gene10736","supercont1.38;supercont1.38;supercont1.38;supercont1.38","3176464;3185671;3203746;3204490","3178552;3193201;3204280;3205056","-;-;-;-",10722,"AAEL001664","EOG82RGZN","FBpp0088839","FBgn0026379","CG5671","Pten","","","",NA,NA,NA,NA,NA,""
"13","gene10741",1,"gene10741","supercont1.38;supercont1.38;supercont1.38;supercont1.38;supercont1.38","1599089;1614933;1647013;1680493;1682475","1600956;1615183;1647341;1681847;1682501","-;-;-;-;-",3830,"AAEL001671","EOG8J9QQN","FBpp0080471","FBgn0086673","CG13272","CG13272","","","","FBpp0080471","FBgn0086673","CG13272","CG13272","3.00E-13",""
"14","gene10767",1,"gene10767","supercont1.38","3202248","3202724","+",477,"AAEL001663",NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,""
"15","gene10780",2,"gene10780","supercont1.501;supercont1.501;supercont1.501","773384;773778;794783","773712;773922;794924","-;-;-",616,"AAEL010724","EOG8K6JXM","FBpp0082203","FBgn0040551","CG11686","CG11686","","","","FBpp0082203","FBgn0040551","CG11686","CG11686","3.00E-07",""
"16","gene10807",1,"gene10807","supercont1.354;supercont1.354;supercont1.354;supercont1.354;supercont1.354;supercont1.354;supercont1.354","1087110;1087592;1099736;1100450;1100802;1101146;1109547","1087517;1087753;1100390;1100800;1101041;1101215;1109975","-;-;-;-;-;-;-",2315,"AAEL008879","EOG8NKFMB","FBpp0311059","FBgn0000337","CG1555","cn","","","","FBpp0311059-FBpp0078759","FBgn0000337-FBgn0031713","CG1555-CG7277","cn-CG7277","0-6e-05",""
"17","gene10970",1,"gene10970","supercont1.399;supercont1.399","375941;378787","378286;379380","+;+",2940,"AAEL009487",NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,""
"18","gene11024",3,"gene11024","supercont1.162;supercont1.162;supercont1.162","127992;133475;149902","127998;134198;156351","+;+;+",7181,"AAEL005553","EOG8XH2QM","FBpp0110277","FBgn0031885","CG13778","Mnn1","","","","FBpp0079029","FBgn0031885","CG13778","Mnn1","0",""
"19","gene11080",1,"gene11080","supercont1.409;supercont1.409;supercont1.409;supercont1.409;supercont1.409","959973;960484;960763;961059;961484","960319;960700;960969;961274;961877","-;-;-;-;-",1381,"AAEL009580","EOG870X7Q","FBpp0077026","FBgn0031097","CG17052","obst-A","","","","FBpp0077026-FBpp0079524-FBpp0078268-FBpp0078795-FBpp0077027-FBpp0076254","FBgn0031097-FBgn0027600-FBgn0026077-FBgn0031737-FBgn0022770-FBgn0023479","CG17052-CG4778-CG10287-CG11142-CG17058-CG4821","obst-A-obst-B-Gasp-obst-E-Peritrophin-A-Tequila","9e-91-3e-57-3e-38-3e-35-5e-21-5e-16",""
"20","gene11378",1,"gene11378","supercont1.21;supercont1.21;supercont1.21","2195300;2196786;2202498","2196079;2199782;2203134","-;-;-",4414,"AAEL001036","EOG8T4GKN","FBpp0307426","FBgn0037926","CG10535","Elp1","","","","FBpp0081896","FBgn0037926","CG10535","Elp1","0",""
"21","gene1156",3,"gene1156","supercont1.209;supercont1.209;supercont1.209","1388729;1391635;1403149","1391375;1393255;1403507","-;-;-",4627,"AAEL006519","EOG8B2WNP","FBpp0077166","FBgn0031590","CG3702","CG3702","","","","FBpp0077166-FBpp0073557","FBgn0031590-FBgn0030456","CG3702-CG4332","CG3702-CG4332","0-4e-80",""
